Правовой результат;+7–911–238–98–62;Санкт-Петербург, Большая Пороховская, 25;pravovojrezultat.ru;info@pravovojrezultat.ru
Общество потребителей Санкт-Петербурга и Ленинградской области;+7 (812) 400–22–20, +7 (812) 272–12–19;Санкт-Петербург, Невский проспект, 78;;
Лептон, ООО;+7 (812) 988–88–87, +7 (812) 962–61–82, +7–963–340–14–13;БЦ 20-я Линия,Санкт-Петербург, 20-я линия В.О., 5-7;lepton-law.ru;
Стандарт ++, ГК;+7–921–905–44–26, +7 (812) 951–63–31;Санкт-Петербург, Революции шоссе, 114;standartplusplus.su;
Абсолют, ООО;+7 (812) 921–76–35, +7–911–826–11–58;Санкт-Петербург, Михаила Дудина, 23 к1;absolut-urist.ru;
Центр деловых услуг, ООО;+7 (812) 441–38–28, +7 (812) 334–93–93;БЦ Адмирал,Санкт-Петербург, Митрофаньевское шоссе, 2 к1;infocdu.ru;
Меркурий;+7–967–570–95–61, +7–961–612–05–50;Санкт-Петербург, Павловская, 82;;
LEGATO;+7 (812) 703–11–90;БЦ Sinop,Санкт-Петербург, Синопская набережная, 22;legato.ru;n.aliev@legato.ru
АРЕС;8–800–555–79–11, +7 (812) 313–47–18;Санкт-Петербург, Набережная реки Фонтанки, 104;www.ares.ru;
Адвокатский кабинет Строговой А.Ю.;+7 (812) 904–23–20, +7 (812) 969–47–83;Санкт-Петербург, Московский проспект, 197;;
Меридиан права;+7 (812) 703–89–56, +7–981–127–21–34;БЦ Русские самоцветы,Санкт-Петербург, Карла Фаберже площадь, 8;meridianprava.com;
Импэкс Консалт;+7 (812) 309–39–86;БЦ Сенатор,Санкт-Петербург, 7-я линия В.О., 76;www.offshore-manual.ru;
Пелевин и партнеры;+7–921–915–60–00, +7 (812) 275–74–79;Санкт-Петербург, Гагаринская, 6а;www.ak-pelevin.ru;
Адвокатская консультация №17;+7 (812) 314–80–27;Санкт-Петербург, Гороховая, 31;;
Де Лата;+7 (812) 764–12–92, +7–921–916–70–01;Санкт-Петербург, Лиговский проспект, 87;;
ЮФЛ;+7 (812) 575–53–79, +7 (812) 575–53–80, +7 (812) 575–53–81, +7 (812) 575–53–85;Санкт-Петербург, Щербаков переулок, 4;ufl.ru;
Адвокатский кабинет Горохова Р.В.;+7–921–864–67–86;БЦ Невский 30,Санкт-Петербург, Невский проспект, 30;;
Авеан;+7 (812) 334–88–20;БЦ Адмирал,Санкт-Петербург, Митрофаньевское шоссе, 2 к1;avean.ru;
Консалт Партнер;+7 (812) 988–33–13, +7 (812) 988–33–03;Санкт-Петербург, Мытнинская, 19;consult-partner.com;
Юст энд Юрис;+7 (812) 242–89–13;Санкт-Петербург, Суворовский проспект, 59;www.obankrotstve.ru;
BeBrand;8–800–250–88–61;Санкт-Петербург, Большой проспект П.С., 32;biz-brand.ru;
НЕВСКИЙ ПРОСТОР;+7 (812) 325–38–38;Санкт-Петербург, Наличная, 22;www.spb-estate.com;
Юридическая консультация;+7–921–903–17–16;БЦ Авеню,Санкт-Петербург, Аптекарская набережная, 20;www.alexlobanov.ru;
Импера Легем, ООО;+7 (812) 633–36–64;БЦ Лето,Санкт-Петербург, Свердловская набережная, 44 лит Д;imperalegem.ru;
BPI Group;+7 (812) 425–35–65;Санкт-Петербург, Парадная, 3 к2;bpi-group.ru;
Согласие;+7 (812) 989–06–10;Санкт-Петербург, Большая Пушкарская, 37;;
НОРД-КОНСАЛТ ГРУПП, ООО;+7–960–261–00–20;Санкт-Петербург, Малая Морская, 18;www.nord-audit.ru;
Лантра;+7 (812) 640–05–20, +7–921–917–02–70;Санкт-Петербург, Дыбенко, 24 к1;www.lantraperevod.ru;office@lantraperevod.ru
Коллегия Юристов;+7 (812) 646–10–50;БЦ Московский,Санкт-Петербург, Московский проспект, 212;kollegia-uristov.ru;
ФАКТУМ, ООО;+7 (812) 993–18–27;БЦ ЦНИТА,Санкт-Петербург, Бухарестская, 1;;
Адвокатский кабинет Жукова А.М.;+7 (812) 928–01–66;Санкт-Петербург, Садовая, 51;advokat-pro.spb.ru;
Единый центр правовой защиты, ООО;+7 (812) 389–47–99;БЦ Владимирский 17,Санкт-Петербург, Владимирский проспект, 17;ецпз.рф;
Берега Невы, ООО;+7 (812) 244–74–75, +7 (812) 324–64–32, +7 (812) 943–50–96, +7–921–943–50–96;БЦ Биржа,Санкт-Петербург, 26-я линия В.О., 15 к2 лит А;bereganevy.ru;
Центр делового развития и бизнес услуг;+7 (812) 337–11–10;Санкт-Петербург, Петергофское шоссе, 73а;www.cb-spb.ru;info@cb-spb.ru
РосГид;+7 (812) 918–63–59, +7 (812) 918–63–79;БЦ Лахта,Санкт-Петербург, Оптиков, 4 к2 лит А;rosgid.ru;
Юрист Консалтинг;+7 (812) 401–00–00, +7–950–000–00–19;БЦ Атлантик Сити,Санкт-Петербург, Савушкина, 126 лит Б;juristconsulting.ru;
Альбрехт и Витте;+7 (812) 622–10–29;БЦ Чкаловский,Санкт-Петербург, Большая Зеленина, 8 к2 лит А;www.avlaw.ru;
Институт Проблем Предпринимательства, ООО;+7 (812) 703–40–41;Санкт-Петербург, Марата, 92;www.ipp.spb.ru;
Санкт-Петербургский центр правовой защиты, ООО;+7 (812) 245–66–41;Санкт-Петербург, Тележная, 17-19 лит А;urist78.ru;
23-я адвокатская консультация;+7 (812) 408–21–54;Санкт-Петербург, Светлановский проспект, 70 к1;;
АММ-ГРУПП, ООО;+7 (812) 984–48–84;Санкт-Петербург, Советская 1-я, 12;ammgroupp.ru;
Институт независимых социально-экономических исследований, ООО;+7 (812) 498–13–44, +7 (812) 232–84–54;Санкт-Петербург, Ординарная, 5;insei.ru;
Безкредитофф, ООО;8–800–333–58–34;БЦ Резон,Санкт-Петербург, Всеволода Вишневского, 12а;bezkreditoff.ru;
TOR;+7 (812) 385–51–21;БЦ Русские самоцветы,Санкт-Петербург, Карла Фаберже площадь, 8;torestate.ru;
Адвокатская консультация №13;+7 (812) 321–47–53, +7 (812) 321–47–55;Санкт-Петербург, Большой проспект В.О., 61;;
Адвокатский кабинет Волковского А.Н.;+7 (812) 996–67–76, +7 (812) 993–39–93;Санкт-Петербург, Чернышевского площадь, 10;9001545.ru;
Инфора, АО;+7 (812) 642–21–22;Санкт-Петербург, Профессора Попова, 38;www.inforaspb.ru;
Andrey & Femida;+7–961–800–00–40, +7 (812) 983–69–61, +7–965–077–77–00;Санкт-Петербург, Маяковского, 37 к3;agentcaa.ru;
КУТУЗОВСКАЯ;+7 (812) 272–48–58;Санкт-Петербург, Набережная Кутузова, 14;;
Сталкер;+7 (812) 677–25–27, +7–981–825–97–65;БЦ Новотроицкий,Санкт-Петербург, Обуховской Обороны проспект, 120 лит Б;www.stalkerspb.ru;
Ваше Решение;+7 (812) 418–33–45;Санкт-Петербург, Фурштатская, 31;;
За кредитную грамотность;+7 (812) 642–50–16;БЦ Мир, Санкт-Петербург, Ефимова, 4а;kredgram.ru;
Деловой эксперт, ООО;+7 (812) 458–43–01, +7–921–436–98–98;Всеволожск, Шишканя, 17;expert98.ru;
НАЛОГИ, ЭКОНОМИКА, БИЗНЕС;+7 (812) 961–00–41, +7 (812) 712–92–21, +7 (812) 926–44–00;Санкт-Петербург, Лиговский проспект, 172;advokat-v-spb.ru;
Первая адвокатская контора;+7 (812) 316–33–09, +7 (812) 316–31–96;Санкт-Петербург, Красноармейская 6-я, 4;1akspb.ru;
Егоров, Пугинский, Афанасьев и партнеры;+7 (812) 322–96–81;Санкт-Петербург, Невский проспект, 24;www.epam.ru;
ПОСОЛЬСТВО ДОБРЫХ ДЕЛ;+7–952–366–89–82, +7 (812) 980–20–23;ДЦ Маяк,Санкт-Петербург, Московский проспект, 91;;
Единый КонсалтЦентр, ООО;8–800–505–16–04;БЦ Биржа,Санкт-Петербург, 26-я линия В.О., 15 к2 лит А;;
Санкт-Петербургская торгово-промышленная палата;+7 (812) 476–85–88;Санкт-Петербург, Октябрьский бульвар, 50;spbtpp.ru;
Альфа-Групп, ООО;+7 (812) 495–94–57, +7–911–707–97–48;Санкт-Петербург, Набережная Обводного канала, 148 к2;alfgr.ru;
Грань, ООО;+7 (812) 309–22–48, +7–921–780–60–24, +7–921–993–16–86;БЦ Буревестник,Санкт-Петербург, Малоохтинский проспект, 68;gran-law.ru;
Ленинградская областная торгово-промышленная палата;+7 (812) 334–49–69;Санкт-Петербург, Кирпичный переулок, 4;лотпп.рф;
Адвокатская консультация №35;+7 (812) 950–11–41, +7–911–251–97–10;Санкт-Петербург, Невский проспект, 65;;
Вестник государственной регистрации, ООО;8–800–100–85–60;Санкт-Петербург;www.vestnik-gosreg.ru;
Адвокат-Lex;+7 (812) 493–39–02, +7 (812) 942–08–94;Санкт-Петербург, Московский проспект, 222;advokat-lex.ru;
Новые возможности, ООО;+7 (812) 907–73–46;Санкт-Петербург, Ленинский проспект, 151;www.newvista.ru;
Престиж;+7–911–261–04–98, +7 (812) 244–26–79;Санкт-Петербург, Московский проспект, 111;advokat-jur.ru;
ПОЙНТ, ООО;+7 (812) 336–61–08;БЦ Портал,Санкт-Петербург, Бумажная, 18;;
Адвокатский кабинет Малышевой В.А.;+7–931–256–37–07;ТРК Гранд Каньон,Санкт-Петербург, Энгельса проспект, 154;www.advocab.ru;
Алгоритм;+7 (812) 904–33–50;БЦ Оптима,Санкт-Петербург, Смоленская, 9;www.algoritm-spb.ru;
Адвокатская палата Ленинградской области;+7 (81371) 9–07–69;Гатчина, Красная, 13;;
В праве, ООО;+7 (812) 603–46–43;Санкт-Петербург, Кузнечный переулок, 4;www.v-prave.com;
Ильюшихин и партнеры;+7 (812) 332–22–25;БЦ Сенатор,Санкт-Петербург, Профессора Попова, 37 лит Щ;ilyushihin-and-partners.ru;
Бизнес Эксперт;+7 (812) 933–27–37;БЦ Петровский Форт,Санкт-Петербург, Финляндский проспект, 4 лит А;bexperts.ru;
Капитал-Консалт, ООО;+7 (812) 336–14–36;Санкт-Петербург, Софийская, 6 к2;capitalbuh.ru;
ГлавЮрист;+7 (812) 213–44–01;БЦ Невский 30,Санкт-Петербург, Невский проспект, 30;глав-юрист.рф;info@glav-urist.ru
Юникс;+7 (812) 718–45–70;Санкт-Петербург, Орбели, 17;junics.ru;
Берега Невы, ООО;+7 (812) 244–74–75, +7 (812) 740–72–28, +7 (812) 995–32–86, +7–921–995–32–86;Санкт-Петербург, Московский проспект, 109;bereganevy.ru;
Центр урегулирования убытков, ООО;+7–911–900–62–00, +7 (812) 923–79–09;БЦ Лиговский 266,Санкт-Петербург, Лиговский проспект, 266 лит В;;
БалтЮрКом, ООО;+7–921–918–76–46, +7 (812) 607–58–38;Санкт-Петербург, Петергофское шоссе, 53;;
Концепт;+7 (812) 648–58–27;Санкт-Петербург, Чайковского, 24;;
Единая юридическая служба;+7–904–614–84–10, +7 (812) 407–12–34;Санкт-Петербург, Советская 5-я, 25;eus.spb.ru;
Baker & McKenzie-CIS;+7 (812) 303–90–00;BolloevСenter,Санкт-Петербург, Гривцова переулок, 4;www.bakermckenzie.com;
ДЕКАРТ;+7 (812) 926–77–95, +7–960–267–81–09;БЦ Лесной,Санкт-Петербург, Лесной проспект, 63;www.idekart.ru;
Защита;+7 (812) 934–88–41, +7 (812) 912–10–03;Санкт-Петербург, Королёва проспект, 7;uridik.ru;
Горичев и партнеры;+7 (812) 652–00–00;Санкт-Петербург, Энгельса проспект, 28;www.advokat-gorichev.ru;
Эталон Права;+7 (812) 648–17–55, +7–906–252–07–92;БЦ Сенатор,Санкт-Петербург, 7-я линия В.О., 76;www.etalon-prava.ru;
Петербургская центральная регистрационная компания, АО;+7 (812) 424–21–22;БЦ Чкаловский,Санкт-Петербург, Большая Зеленина, 8 к2 лит А;www.pcrc.spb.ru;
Сиан;+7 (812) 917–90–91;Санкт-Петербург, Большая Пушкарская, 41;urist-sian.ru;
Прайм Эдвайс, ООО;+7 (812) 449–50–00, +7 (812) 449–50–01;Санкт-Петербург, Невский проспект, 11/2;www.hlbprime.com;
Совет экспертов, ООО;+7 (812) 448–68–14;Санкт-Петербург, Рубинштейна, 26;sovetex.ru;
Астрея;+7 (812) 324–70–01;БЦ Мир,Санкт-Петербург, Ефимова, 4а лит А;;
Юридическая консультация №58;+7 (812) 649–17–43;Санкт-Петербург, Просвещения проспект, 99 к3;;
Центр юридических услуг, ООО;+7 (812) 777–10–00;ТРК Континент,Санкт-Петербург, Звёздная, 1;;
Расчетный центр;+7 (812) 579–15–20;Санкт-Петербург, Восстания, 6;;
РОСЛЕКС, ООО;+7 (812) 609–99–31;ДЦ Оптима,Санкт-Петербург, Торжковская, 5;www.roslex.ru;
PlusMinus Consulting;+7 (812) 313–20–92;БЦ Петровский Форт,Санкт-Петербург, Финляндский проспект, 4а;www.plusminusconsulting.com;karelina.66@mail.ru
Балтийская аудиторская компания, ООО;+7 (812) 336–50–41, +7 (812) 336–55–38;Санкт-Петербург, Каменноостровский проспект, 15;www.baltaudit.com;
Вильчур и партнеры, ООО;+7 (812) 702–99–59;Санкт-Петербург, Социалистическая, 2/30;www.vilchur.ru;
Гарант-Виктория;+7 (812) 332–22–21, +7 (812) 332–22–20;ТОК Эврика,Санкт-Петербург, Седова, 11 лит А;www.garant-victori.ru;
Адвокатская палата г. Санкт-Петербурга;+7 (812) 713–14–03, +7 (812) 713–15–89;Санкт-Петербург, Невский проспект, 53;apspb.ru;
КОНСУЛ ПРАЙД, ООО;+7–921–890–55–66, +7 (812) 644–71–17;БЦ Таврический,Санкт-Петербург, Шпалерная, 51;consulpride.ru;
ПОБЕДА;+7 (812) 458–87–87, +7–921–644–66–20;Санкт-Петербург, Итальянская, 23;pobedareg.ru;
Vinder Law Office;+7 (812) 245–39–09;Санкт-Петербург, Якубовича, 24;vinder.pro;
ЛВБ-Холдинг;+7 (812) 300–30–03;БЦ Троицкий Двор,Санкт-Петербург, Красноармейская 13-я, 7;www.lvb-holding.ru;
Балтийское Страховое Агентство, ООО;+7–921–633–10–26, +7 (812) 321–80–29;Санкт-Петербург, 11-я линия В.О., 66-68;;
Корона Мэджик, ООО;+7 (812) 969–65–31, +7 (812) 969–55–20, +7 (812) 969–62–60;БЦ Оптима,Санкт-Петербург, Смоленская, 9;corona.spb.ru;
Адвокатская консультация №18;+7 (812) 648–52–37;Санкт-Петербург, Швецова, 4;;
Eltoma Corporate Services;+7 (812) 363–19–49, +7 (812) 458–46–22;ДЦ Балтийский,Санкт-Петербург, Гаккелевская, 21а;eltoma-global.com;
Сказано-Сделано, ООО;+7 (812) 915–62–16;Санкт-Петербург, Малая Морская, 11;www.sdelano-spb.ru;
Волжский гарант, ООО;+7 (812) 622–14–02;Санкт-Петербург, Кантемировская, 39;волжский-гарант.рф;
Деловой эксперт, ООО;+7 (812) 458–43–01, +7–921–436–98–98, +7 (812) 458–43–01, +7 (812) 987–94–87;Санкт-Петербург, Коломяжский проспект, 28 к1;expert98.ru;
Юридический центр на Восстания;+7 (812) 579–15–88, +7 (812) 327–16–66;Санкт-Петербург, Восстания, 6;www.v6.spb.ru;
ГОРОДСКОЙ ЮРИДИЧЕСКИЙ ЦЕНТР, ООО;+7–911–116–09–42;Санкт-Петербург, Ленинский проспект, 92 к1;t.me;
Адвокатская консультация №2;+7 (812) 273–56–52, +7 (812) 273–89–15;Санкт-Петербург, Невский проспект, 74;;
Невская коллегия адвокатов г. Санкт-Петербурга;+7 (812) 222–71–55, +7 (812) 222–27–46;Санкт-Петербург, Среднеохтинский проспект, 51;www.nka.spb.ru;
М2 Капитал, ООО;+7 (812) 490–63–00, +7 (812) 909–63–00;Санкт-Петербург, Московский проспект, 6;m2-kapital.ru;
Деловой эксперт, ООО;+7 (812) 458–43–01, +7–921–436–98–98;БЦ ЦНИТА,Санкт-Петербург, Бухарестская, 1;expert98.ru;
Санкт-Петербургская городская коллегия адвокатов;+7–965–751–03–53;Санкт-Петербург, Невский проспект, 53;apspb.ru;
Первый Консул;+7 (812) 955–88–32, +7–921–780–87–86;Санкт-Петербург, Вознесенский проспект, 25;firstconsul.ru;
Аврора, ООО;+7 (812) 329–57–57;БЦ Голдекс,Санкт-Петербург, Чернышевского проспект, 1;www.aurora1995.spb.ru;
Рус Эдвайс, ООО;+7–962–684–91–11, +7 (812) 600–22–65;БЦ Finderent,Санкт-Петербург, Аптекарская набережная, 12;;
АФОНАСЬЕВ и партнеры, ООО;+7 (812) 649–11–16;БЦ Бенуа,Санкт-Петербург, Пискарёвский проспект, 2 к2 лит Щ;consul-rf.wixsite.com;
Догма;+7–905–218–71–11;БЦ Baltis Plaza,Санкт-Петербург, Средний проспект В.О., 88;dogmaspb.ru;
Адвокатский кабинет Зимина А.В.;+7 (812) 648–28–92;БЦ Лидваль,Санкт-Петербург, Большая Морская, 3;www.a-zimin.ru;
Правовые технологии, ООО;+7 (812) 418–28–00;БЦ Фарватер,Санкт-Петербург, Введенский канал, 7;www.legtech.ru;
ПРАВОВЕД;8–800–301–88–60, +7 (812) 409–53–53;БЦ Троицкий,Санкт-Петербург, Кронверкская, 5;;
ДОФИН;+7 (812) 984–48–54, +7 (812) 645–09–05;БЦ Большой 100,Санкт-Петербург, Большой проспект П.С., 100;www.dofinspb.ru;
Центр международного права, ООО;+7–911–228–52–60;Санкт-Петербург, Гороховая, 46;;
Первая юридическая компания;+7–911–218–95–85;РГПУ им. А.И. Герцена,Санкт-Петербург, Набережная реки Мойки, 48;;
Ингрия, ООО;+7 (812) 905–20–32, +7 (812) 313–41–35, +7–911–181–29–78;Санкт-Петербург, Рубинштейна, 20;ingria-law.ru;
Юридический многофункциональный центр;+7 (812) 456–58–37, +7 (812) 456–58–38;БЦ J.plaza 1,Санкт-Петербург, Красноармейская 10-я, 5д;umfc.ru;
Банкротов Нет;+7 (812) 988–45–57, +7 (812) 425–69–18;БЦ Мир, Санкт-Петербург, Ефимова, 4а;банкротов.net;
Альтернатива, ООО;+7 (812) 930–53–40, +7–905–235–83–77;БЦ Разъезжая 5,Санкт-Петербург, Разъезжая, 5;altsro.ru;
ЮК ФАКТОР, ООО;+7 (812) 385–58–53, +7–950–005–38–12;Санкт-Петербург, Константина Заслонова, 17;www.ur78.ru;
Адвокатская консультация №21;+7 (812) 461–50–90;Санкт-Петербург, Вокзальная, 14;;
Адвокат Каменева Е.А.;+7 (812) 945–23–80, +7–921–309–78–37;БЦ Magnus,Санкт-Петербург, 9-я линия В.О., 34;kameneva.spb.ru;
Магора Консалтинг, ООО;+7 (812) 602–70–08;Санкт-Петербург, Марата, 47-49;magora-consulting.ru;
Северо-Западный центр услуг, ООО;+7 (812) 622–10–12, +7 (812) 622–10–24, +7 (812) 903–05–90;ТРК Континент,Санкт-Петербург, Бухарестская, 32;www.center-uslug.com;
Общество Содействия Автомобилистам, НП;+7 (812) 640–01–98, +7 (812) 400–54–00;пос. Аннино, Садовая, 4;www.osa-spb.ru;
Центр налоговых экспертиз и аудита, ООО;+7 (812) 430–31–54, +7 (812) 430–59–98, +7 (812) 430–97–81;Санкт-Петербург, Сестрорецкая, 8;www.tax-expert.ru;
ЦЕНЗОР, ООО;+7 (812) 372–28–16, +7 (812) 364–64–67, +7 (812) 577–75–75;Санкт-Петербург, Трамвайный проспект, 12а;www.cenzor.ru;
Принципал;+7–931–262–78–01, +7 (812) 449–71–24;БЦ 76,Санкт-Петербург, Обуховской Обороны проспект, 76 к4 лит А;buxcenterspb.ru;
Рёдль и Партнеры;+7 (812) 320–66–93;БЦ Преображенский,Санкт-Петербург, 14-я линия В.О., 7;www.roedl.ru;
Мир Права;+7–921–774–48–15, +7 (812) 981–72–11;БЦ На Сенной,Санкт-Петербург, Спасский переулок, 14/35;mirprava.com;
Агентство Мир, ООО;+7 (812) 958–33–45, +7 (812) 922–35–68;ТОЦ Измайловский Гостиный Двор,Санкт-Петербург, Красноармейская 1-я, 15;;
В законе;+7–981–728–83–83, +7–981–728–85–85;Санкт-Петербург, Митрофаньевское шоссе, 2 к2;vzakone.spb.ru;
Деловой консалтинг, ООО;+7 (812) 702–80–30, +7 (812) 640–40–47;Санкт-Петербург, Московский проспект, 79;delconsult.ru;
Абсолют, ООО;+7 (812) 921–76–35, +7–911–826–11–58;д. Лесколово, Красноборская, 4;absolut-urist.ru;
БОНУС;+7 (812) 973–55–02, +7 (812) 680–10–80;Санкт-Петербург, Невский проспект, 160 лит А;bonus-group.ru;
ЭДХОК, ООО;+7 (812) 425–69–97;БЦ Avantage,Санкт-Петербург, Белоостровская, 17 к2;adhoc.su;
Tax House;+7–931–300–04–12, +7–931–300–04–19, +7 (812) 332–20–16;БЦ Сенатор,Санкт-Петербург, Жуковского, 63;taxhouse.ru;
Лигал Эйд, ООО;+7 (812) 702–38–50;БЦ Овентал History,Санкт-Петербург, Социалистическая, 14;www.lgld.ru;
Призыванет.ру;8–800–200–66–46, +7–999–201–22–47;Санкт-Петербург, Свечной переулок, 1;www.prizyvanet.ru;
Хазов, Кашкин и Партнеры;+7 (812) 339–70–13;Санкт-Петербург, Захарьевская, 16;kpls.pro;
Адвокатский кабинет Кудрина А.В.;+7 (812) 716–11–90;Санкт-Петербург, Лиговский проспект, 111-113-115;;
78 РЕГИОН, ООО;+7 (812) 335–13–14, +7 (812) 335–51–95;БЦ Обводный 24,Санкт-Петербург, Набережная Обводного канала, 24а;www.78spb.ru;
ИСТ, ЗАО;+7 (812) 622–10–00, +7 (812) 622–12–00;Санкт-Петербург, 23-я линия В.О., 2;;
Кондор, ООО;+7 (812) 987–82–20, +7 (812) 980–45–78;БЦ Приморский,Санкт-Петербург, Липовая аллея, 9а;consulting78.ru;
Верховодко и партнеры;+7 (812) 291–37–12;БЦ Magnus,Санкт-Петербург, 9-я линия В.О., 34;verkhovodko.com;
Альянс-Консалтинг и Аудит, ООО;+7 (812) 380–95–59, +7 (812) 244–93–15, +7 (812) 425–24–05;БЦ Казанский,Санкт-Петербург, Казанская, 7;www.a-cons.com;
Ваш Консультант;+7–981–747–01–29, +7 (812) 642–82–29;ДЦ Оптима,Санкт-Петербург, Торжковская, 5;www.advokatvspb.com;
Балтийская правовая группа;+7 (812) 642–36–14, +7 (812) 642–05–58;Санкт-Петербург, Московский проспект, 220;bpgspb.ru;
Вавилон;+7 (812) 309–00–88, +7 (812) 983–46–20, +7 (812) 309–20–88;Санкт-Петербург, Большая Московская, 3;vavilonspb.ru;
Принцип права;+7 (812) 677–76–27;Санкт-Петербург, Верейская, 9;law178.ru;
32-я адвокатская консультация;+7 (812) 408–16–95;БЦ Бухарестская, 24,Санкт-Петербург, Бухарестская, 24 к1;;
Технопарк;8–800–333–32–52, +7 (812) 425–33–10;ДЦ Екатерингофский,Санкт-Петербург, Лифляндская, 6д;spb.tehnopark.com;
Домаполис, ООО;+7 (812) 389–39–81, +7 (812) 903–78–57;Санкт-Петербург, Мебельная, 19 к2;domapolis.ru;
Статус, ООО;+7 (812) 449–33–75, +7 (812) 272–46–84;Санкт-Петербург, Жуковского, 7-9;www.urstatus.ru;
Адвокатский кабинет;+7 (812) 983–07–77;ДЦ Владимирский,Санкт-Петербург, Щербаков переулок, 12;;
Варшавский и партнеры, ООО;+7 (812) 339–22–98;БЦ Сити Центр,Санкт-Петербург, Чапаева, 5;www.varshavskiy.su;
41-я адвокатская консультация;+7 (812) 408–46–94;Санкт-Петербург, Васи Алексеева, 6Б;;
Emerging Markets Group;+7 (812) 336–43–86;БЦ Сенатор,Санкт-Петербург, Набережная Обводного канала, 129/60;www.emg-russia.com;
Аргентейра;+7 (812) 313–26–67;БЦ Космос,Санкт-Петербург, Циолковского, 9 к2 лит А;www.av-buh.ru;
СК, ООО;+7–911–845–18–75, +7–911–930–33–08;Санкт-Петербург, Оборонная, 10;jpsk.ru;
АБСолюшн, ООО;+7 (812) 335–09–69;Санкт-Петербург, Ульяны Громовой переулок, 4;;
Центр Жилья и Права, ООО;+7 (812) 296–14–34, +7 (812) 296–14–33;Санкт-Петербург, Просвещения проспект, 54;;
АСП Груп, ООО;+7 (812) 244–31–07;БЦ Респект,Санкт-Петербург, Детская, 5а;groupasp.ru;
Белый Лев;+7 (812) 640–02–08;БЦ На Сенной,Санкт-Петербург, Спасский переулок, 14;;
Адвокатская консультация №43;+7 (812) 408–13–96;Санкт-Петербург, Пограничника Гарькавого, 36 к5;;
Санкт-Петербургская ипотечная компания, ООО;+7 (812) 633–36–79, +7 (812) 330–03–20, +7–921–351–22–45;ТК Ямской,Санкт-Петербург, Марата, 53;spikcompany.ru;
Горичев и партнеры;+7 (812) 652–00–00;Гостиница Октябрьская,Санкт-Петербург, Лиговский проспект, 10;www.advokat-gorichev.ru;
ЛЕКОН;+7–921–951–19–52, +7–921–560–75–98, +7 (812) 951–19–52;Санкт-Петербург, Малая Морская, 11;lekon-ltd.ru;
Балтийская Бизнес Коллегия;+7 (812) 924–54–10, +7 (812) 924–64–10;БЦ Фарватер,Санкт-Петербург, Введенский канал, 7;baltbk.ru;
Истоки, ООО;+7–921–951–44–86, +7 (812) 578–16–31;Санкт-Петербург, Лиговский проспект, 43-45;www.istokispb.ru;
ЭйБиСи Финанс, ООО;+7 (812) 389–56–57, +7 (812) 318–03–73;БЦ Re-forma,Санкт-Петербург, Революции шоссе, 69;abc-fin.com;
Адвокатская консультация №95;+7 (812) 273–21–07;Санкт-Петербург, Радищева, 12;;
APK Solution;+7 (812) 408–31–91;БЦ Magnus,Санкт-Петербург, 9-я линия В.О., 34;www.apksolution.com;
ИВРОСТ;+7 (812) 644–42–00, +7 (812) 374–54–64;БЦ Ильич,Санкт-Петербург, Белоостровская, 8;ivrost.com;
Legal Line Consulting;+7–921–183–88–18;Санкт-Петербург, Троицкий проспект, 14;legalconsul.ru;
ПроЛидерКонсалт;+7 (812) 987–11–07;Санкт-Петербург, Лиговский проспект, 113;pl-law.ru;
Адвокатский кабинет Брия А.Д.;+7–921–774–48–15;БЦ На Сенной,Санкт-Петербург, Спасский переулок, 14/35;mirprava.com;
ЭТАЛОНГРУПП, ООО;+7 (812) 642–84–83, +7 (812) 959–84–10, +7 (812) 958–02–84;Санкт-Петербург, Коломяжский проспект, 10 лит Е;nadosro.ru;
ФРАНЧАЙЗИНГ 5;+7 (812) 365–99–85, +7 (812) 900–40–09;БЦ Обводный 24,Санкт-Петербург, Набережная Обводного канала, 92;spb78.franch5.ru;
ЕвроБизнес-Консалтинг, ООО;+7 (812) 993–99–44, +7 (812) 448–89–93;Санкт-Петербург, Советская 5-я, 15-17;www.eurobc.ru;
Апелляционный центр, АО;+7 (812) 670–10–01, +7 (812) 670–20–02;Санкт-Петербург, Ставропольская, 1;www.acentrum.ru;
Агентство Финансового Консалтинга Маркеловой, ООО;+7 (812) 915–10–91;Санкт-Петербург, Ленинский проспект, 151;www.afcm.ru;
Ленинградская областная коллегия адвокатов, НО;+7 (812) 575–83–13;Санкт-Петербург, Владимирский проспект, 3;;
Успешный старт;+7 (812) 980–38–49;БЦ Гулливер 2,Санкт-Петербург, Торфяная дорога, 7 лит Ф;gutstart.ru;
Адвокат-Авто;+7 (812) 6–000–300;БЦ На Сенной,Санкт-Петербург, Спасский переулок, 14/35;a-a.ru;
КОРДАН, ООО;+7–950–024–04–22;Санкт-Петербург, Старо-Петергофский проспект, 22;;
Investment Trading House;+7 (812) 432–88–88, +7 (812) 984–74–55;Санкт-Петербург, Суворовский проспект, 65;;
СИМПЛЕКС, ООО;+7–931–290–30–50, +7 (812) 309–56–98;Санкт-Петербург, 24-я линия В.О., 13;simplex-spb.ru;
Первая адвокатская консультация;+7 (812) 328–47–62;Санкт-Петербург, 11-я линия В.О., 32;www.spocad.ru;
Тосненская Городская коллегия адвокатов;+7 (81361) 2–58–44, +7 (81361) 2–87–98;Тосно, Боярова, 16;tgka.ucoz.ru;
